"ZETHNICITYID","SHORTDESC","DESCRIPTION","EXPORTID","STARTDATE","ENDDATE","SORT"
"0","WHITE","","0",,,2
"8","8 OTHER","","8",,,9
"A","WHITE BRITISH","","A",,,101
"B","WHITE IRISH","","B",,,102
"C","C ANY OTHER WHITE BACKGROUND","","C",,,103
"C2","Northern Irish","","C2",,,-1
"C3","Other white, white unspecified","","C3",,,-1
"CA","English","","CA",,,-1
"CB","Scottish","","CB",,,-1
"CC","Welsh","","CC",,,-1
"CD","Cornish","","CD",,,-1
"CE","Cypriot (part not stated)","","CE",,,-1
"CF","Greek","","CF",,,-1
"CG","Greek Cypriot","","CG",,,-1
"CH","Turkish","","CH",,,-1
"CJ","Turkish Cypriot","","CJ",,,-1
"CK","Italian","","CK",,,-1
"CL","Irish Traveller","","CL",,,-1
"CM","Traveller","","CM",,,-1
"CN","Gypsy/Romany","","CN",,,-1
"CP","Polish","","CP",,,-1
"CQ","All republics which made up the former USSR","","CQ",,,-1
"CR","Kosovan","","CR",,,-1
"CS","Albanian","","CS",,,-1
"CT","Bosnian","","CT",,,-1
"CU","Croatian","","CU",,,-1
"CV","Serbian","","CV",,,-1
"CW","Other republics which made up the former Yugoslavia","","CW",,,-1
"CX","Mixed white","","CX",,,-1
"CY","Other white European, European unspecified, European mixed","","CY",,,-1
"D","WHITE AND BLACK CARIBBEAN","","D",,,129
"E","MIXED WHITE AND BLACK AFRICAN","","E",,,130
"F","MIXED WHITE AND ASIAN","","F",,,131
"G","G ANY OTHER MIXED BACKGROUND","","G",,,132
"GA","Black and Asian","","GA",,,-1
"GB","Black and Chinese","","GB",,,-1
"GC","Black and White","","GC",,,-1
"GD","Chinese and White","","GD",,,-1
"GE","Asian and Chinese","","GE",,,-1
"GF","Other Mixed, Mixed Unspecified","","GF",,,-1
"H","ASIAN INDIAN","","H",,,147
"J","ASIAN PAKISTANI","","J",,,148
"K","ASIAN BANGLADESHI","","K",,,149
"L","L ANY OTHER ASIAN BACKGROUND","","L",,,150
"LA","Mixed Asian","","LA",,,-1
"LB","Punjabi","","LB",,,-1
"LC","Kashmiri","","LC",,,-1
"LD","East African Asian","","LD",,,-1
"LE","Sri Lanka","","LE",,,-1
"LF","Tamil","","LF",,,-1
"LG","Sinhalese","","LG",,,-1
"LH","British Asian","","LH",,,-1
"LJ","Caribbean Asian","","LJ",,,-1
"LK","Other Asian, Asian unspecified","","LK",,,-1
"M","BLACK CARIBBEAN","","M",,,139
"N","BLACK AFRICAN","","N",,,140
"P","P ANY OTHER BLACK BACKGROUND","","P",,,141
"PA","Somali","","PA",,,-1
"PB","Mixed Black","","PB",,,-1
"PC","Nigerian","","PC",,,-1
"PD","Black British","","PD",,,-1
"PE","Other Black, Black unspecified","","PE",,,-1
"R","CHINESE","","R",,,162
"S","S ANY OTHER ETHNIC GROUP","","S",,,163
"SA","Vietnamese","","SA",,,-1
"SB","Japanese","","SB",,,-1
"SC","Filipino","","SC",,,-1
"SD","Malaysian","","SD",,,-1
"SE","Any Other Group","","SE",,,-1
"X","X NOT KNOWN","","99",,,1
"Z","NOT STATED","","Z",,,169
