ZCONSULTANTSPECIALITYID,SHORTDESC
100,GENERAL SURGERY
101,UROLOGY
110,TRAUMA & ORTHOPAEDICS
120,ENT
130,OPHTHALMOLOGY
140,ORAL SURGERY
141,RESTORATIVE DENTISTRY
142,PAEDIATRIC DENTISTRY
143,ORTHODONTICS
145,ORAL & MAXILLO FACIAL SURGERY
146,ENDODONTICS
147,PERIODONTICS
148,PROSTHODONTICS
149,SURGICAL DENTISTRY
150,NEUROSURGERY
160,PLASTIC SURGERY
170,CARDIOTHORACIC SURGERY
171,PAEDIATRIC SURGERY
180,ACCIDENT & EMERGENCY
191,PAIN MANAGEMENT (Retired 1 April 2004) 
190,ANAESTHETICS
192,CRITICAL CARE MEDICINE
300,GENERAL MEDICINE
301,GASTROENTEROLOGY
302,ENDOCRINOLOGY
303,CLINICAL HAEMATOLOGY
304,CLINICAL PHYSIOLOGY
305,CLINICAL PHARMACOLOGY
310,AUDIOLOGICAL MEDICINE
311,CLINICAL GENETICS
312,CLINICAL CYTOGENETICS and MOLECULAR GENETICS (Retired 1 April 2010) 
313,CLINICAL IMMUNOLOGY and ALLERGY
314,REHABILITATION
315,PALLIATIVE MEDICINE
320,CARDIOLOGY
321,PAEDIATRIC CARDIOLOGY
325,SPORT AND EXERCISE MEDICINE
326,ACUTE INTERNAL MEDICINE
330,DERMATOLOGY
340,RESPIRATORY MEDICINE (also known as thoracic medicine)
350,INFECTIOUS DISEASES
352,TROPICAL MEDICINE
360,GENITOURINARY MEDICINE
361,NEPHROLOGY
370,MEDICAL ONCOLOGY
371,NUCLEAR MEDICINE
400,NEUROLOGY
401,CLINICAL NEURO-PHYSIOLOGY
410,RHEUMATOLOGY
420,PAEDIATRICS
421,PAEDIATRIC NEUROLOGY
430,GERIATRIC MEDICINE
450,DENTAL MEDICINE SPECIALTIES
451,SPECIAL CARE DENTISTRY
460,MEDICAL OPHTHALMOLOGY
500,OBSTETRICS and GYNAECOLOGY
501,OBSTETRICS
502,GYNAECOLOGY
504,COMMUNITY SEXUAL AND REPRODUCTIVE HEALTH
510,ANTENATAL CLINIC (Retired 1 April 2004)  
520,POSTNATAL CLINIC (Retired 1 April 2004)  
560,MIDWIFE EPISODE
600,GENERAL MEDICAL PRACTICE
601,GENERAL DENTAL PRACTICE
610,MATERNITY FUNCTION (Retired 1 April 2004) 
620,OTHER THAN MATERNITY (Retired 1 April 2004)  
700,LEARNING DISABILITY
710,ADULT MENTAL ILLNESS
711,CHILD and ADOLESCENT PSYCHIATRY
712,FORENSIC PSYCHIATRY
713,PSYCHOTHERAPY
715,OLD AGE PSYCHIATRY
800,CLINICAL ONCOLOGY (previously RADIOTHERAPY)
810,RADIOLOGY
820,GENERAL PATHOLOGY
821,BLOOD TRANSFUSION
822,CHEMICAL PATHOLOGY
823,HAEMATOLOGY
824,HISTOPATHOLOGY
830,IMMUNOPATHOLOGY
831,MEDICAL MICROBIOLOGY AND VIROLOGY
832,NEUROPATHOLOGY (Retired 1 April 2004) 
833,MEDICAL MICROBIOLOGY (also known as MICROBIOLOGY AND BACTERIOLOGY)
834,MEDICAL VIROLOGY
900,COMMUNITY MEDICINE
901,OCCUPATIONAL MEDICINE
902,COMMUNITY HEALTH SERVICES DENTAL
903,PUBLIC HEALTH MEDICINE
904,PUBLIC HEALTH DENTAL
950,NURSING EPISODE
960,ALLIED HEALTH PROFESSIONAL EPISODE
990,JOINT CONSULTANT CLINICS (Retired 1 April 2004) 
