ZDIAGNOSTICROUTEID,SHORTDESC,DESCRIPTION,EXPORTID,STARTDATE,ENDDATE,SORT,SCREENINGPROGRAMME,SCREENDETECTED,COSDCODE,GRANULARCODE
"1","Cancers detected by national screening programme",null,"1",null,null,1,9,"Y","1",".Y"
"2","Interval cancer in pt screened by a national screening programme",null,"2",null,null,2,9,"N","2",".N.2"
"3","Other route",null,"3",null,null,3,9,"N","NM",".N"
"5001","Cervix: Screen Detected","Cervical cancer, screen detected. Detected after a diagnostic process that began with a cytology test taken up to three months before the test due date or up to six months after the test was due","1.Y",null,null,-1,1,"Y","1","1.Y"
"5002","Cervix: Screen Detected, no delay","Cervical cancer, screen detected no delay - Detected after a diagnostic process that began with a cytology test taken up to three months before the test due date or up to six months after the test was due. Cancer detected within 6 months of the routine smear","1.Y.1",null,null,-1,1,"Y","1","1.Y.1"
"5003","Cervix: Screen Detected, delayed","Cervical cancer, screen detected delayed - cancer detected after a diagnostic process that began with a cytology test, but not diagnosed until more than 6 months after the cytology test.","1.Y.2",null,null,-1,1,"Y","1","1.Y.2"
"5004","Cervix: Not known","Cervical cancer, screening history not known","1.9",null,null,-1,1,"9","9","1.9"
"5005","Cervix: Not known (Uncategorised by QARC)","Cervical cancer, screening history not known (Uncategorised by QARC)","1.9.1",null,null,-1,1,"9","9","1.9.1"
"5006","Cervix: Not known (Unmatched at QARC)","Cervical cancer, screening history not known (Unmatched by QARC)","1.9.2",null,null,-1,1,"9","9","1.9.2"
"5007","Cervix: Not known (lost to followup)","Cervical cancer, screening history not known (lost to followup)","1.9.3",null,null,-1,1,"9","9","1.9.3"
"5008","Cervix: Interval cancer","Cervical cancer, interval cancer - detected in the interval between test due dates with the previous episode having been closed with no diagnosis of cancer- subtype not known","1.N.2",null,null,-1,1,"N","2","1.N.2"
"5009","Cervix: Lapsed attender","Cervical cancer, lapsed attender. Cancer detected in a woman who had previously been screened at least once, whose last result was negative and who had not attended when last invited (up to six months after the test was due) ","1.N.4",null,null,-1,1,"N","4","1.N.4"
"5010","Cervix: Lapsed attender (<70)","Cervical cancer, lapsed attender (<70) - Cancer detected in a woman who had previously been screened at least once, whose last result was negative and who had not attended when last invited (up to six months after the test was due) and who was less than 70 years old (i.e. less ","1.N.4.1",null,null,-1,1,"N","4","1.N.4.1"
"5011","Cervix: Non attender","Cervical cancer, never attended. Woman who has never been tested but who has been invited for screening","1.N.5",null,null,-1,1,"N","5","1.N.5"
"5012","Cervix: Never invited","Cervical cancer, never invited. Diagnosed before first invitation to cervical screening. Woman who has never been tested nor sent an invitation for screening","1.N.6",null,null,-1,1,"N","6","1.N.6"
"5013","Cervix: Never invited (underage)","Cervical cancer, never invited (underage) - Younger than the starting age of the cervical screening programme and so never invited","1.N.6.1",null,null,-1,1,"N","6","1.N.6.1"
"5014","Cervix: Other (COSD other)","Cervical cancer that cannot be catagorised in COSD categories 1 - 6","1.N.7",null,null,-1,1,"N","7","1.N.7"
"5015","Cervix: Not screen detected","Cervical cancer, not screen detected, full screening history not known","1.N",null,null,-1,1,"N","NM","1.N"
"5016","Cervix: Not screen detected or interval","Cervical cancer, not screen detected and not interval cancers, but precise category unknown","1.N.3",null,null,-1,1,"N","NM","1.N"
"5017","Cervix: Default / lost to follow-up","Cervical cancer, default (attended previously but DNA after early recall). Woman in whom either colposcopy or repeat smear was indicated, but who never received any follow up","1.N.X.1",null,null,-1,1,"N","NM","1.N"
"5018","Cervix: Over age","Cervical cancer, overage - older than the cut off age of the cervical screening program in their area at time of diagnosis","1.N.X.2",null,null,-1,1,"N","NM","1.N"
