ZICDFULLID,ICD_GROUP,ICD_GROUP_DESC,ZICD3CHARID,ICD3CHAR_DESC,SHORTDESC
A00,A00-A09,"Intestinal infectious diseases
",A00,Cholera,Cholera
A000,A00-A09,"Intestinal infectious diseases
",A00,Cholera,"Cholera due to Vibrio cholerae 01, biovar cholerae"
A001,A00-A09,"Intestinal infectious diseases
",A00,Cholera,"Cholera due to Vibrio cholerae 01, biovar el tor"
A009,A00-A09,"Intestinal infectious diseases
",A00,Cholera,"Cholera, unspecified"
A01,A00-A09,"Intestinal infectious diseases
",A01,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers
A010,A00-A09,"Intestinal infectious diseases
",A01,Typhoid and paratyphoid fevers,Typhoid fever
A011,A00-A09,"Intestinal infectious diseases
",A01,Typhoid and paratyphoid fevers,Paratyphoid fever A
A012,A00-A09,"Intestinal infectious diseases
",A01,Typhoid and paratyphoid fevers,Paratyphoid fever B
A013,A00-A09,"Intestinal infectious diseases
",A01,Typhoid and paratyphoid fevers,Paratyphoid fever C
A014,A00-A09,"Intestinal infectious diseases
",A01,Typhoid and paratyphoid fevers,"Paratyphoid fever, unspecified"
A02,A00-A09,"Intestinal infectious diseases
",A02,Other Salmonella infections,Other Salmonella infections
A020,A00-A09,"Intestinal infectious diseases
",A02,Other Salmonella infections,Salmonella gastro-enteritis
A021,A00-A09,"Intestinal infectious diseases
",A02,Other Salmonella infections,Salmonella septicaemia
A022,A00-A09,"Intestinal infectious diseases
",A02,Other Salmonella infections,Localised Salmonella infections
A028,A00-A09,"Intestinal infectious diseases
",A02,Other Salmonella infections,Other specified Salmonella infections
A029,A00-A09,"Intestinal infectious diseases
",A02,Other Salmonella infections,"Salmonella infection, unspecified"
A03,A00-A09,"Intestinal infectious diseases
",A03,Shigellosis,Shigellosis
A030,A00-A09,"Intestinal infectious diseases
",A03,Shigellosis,Shigellosis due to Shigella dysenteriae
A031,A00-A09,"Intestinal infectious diseases
",A03,Shigellosis,Shigellosis due to Shigella flexneri
A032,A00-A09,"Intestinal infectious diseases
",A03,Shigellosis,Shigellosis due to Shigella boydii
A033,A00-A09,"Intestinal infectious diseases
",A03,Shigellosis,Shigellosis due to Shigella sonnei
A038,A00-A09,"Intestinal infectious diseases
",A03,Shigellosis,Other shigellosis
A039,A00-A09,"Intestinal infectious diseases
",A03,Shigellosis,"Shigellosis, unspecified"
A04,A00-A09,"Intestinal infectious diseases
",A04,Other bacterial intestinal infections,Other bacterial intestinal infections
A040,A00-A09,"Intestinal infectious diseases
",A04,Other bacterial intestinal infections,Enteropathogenic Escherichia coli infection
A041,A00-A09,"Intestinal infectious diseases
",A04,Other bacterial intestinal infections,Enterotoxigenic Escherichia coli infection
A042,A00-A09,"Intestinal infectious diseases
",A04,Other bacterial intestinal infections,Enteroinvasive Escherichia coli infection
A043,A00-A09,"Intestinal infectious diseases
",A04,Other bacterial intestinal infections,Enterohaemorrhagic Escherichia coli infection
A044,A00-A09,"Intestinal infectious diseases
",A04,Other bacterial intestinal infections,Other intestinal Escherichia coli infections
A045,A00-A09,"Intestinal infectious diseases
",A04,Other bacterial intestinal infections,Campylobacter enteritis
A046,A00-A09,"Intestinal infectious diseases
",A04,Other bacterial intestinal infections,Enteritis due to Yersinia enterocolitica
A047,A00-A09,"Intestinal infectious diseases
",A04,Other bacterial intestinal infections,Enterocolitis due to Clostridium difficile
A048,A00-A09,"Intestinal infectious diseases
",A04,Other bacterial intestinal infections,Other specified bacterial intestinal infections
A049,A00-A09,"Intestinal infectious diseases
",A04,Other bacterial intestinal infections,"Bacterial intestinal infection, unspecified"
A05,A00-A09,"Intestinal infectious diseases
",A05,Other bacterial foodborne intoxications,Other bacterial foodborne intoxications
A050,A00-A09,"Intestinal infectious diseases
",A05,Other bacterial foodborne intoxications,Foodborne staphylococcal intoxication
A051,A00-A09,"Intestinal infectious diseases
",A05,Other bacterial foodborne intoxications,Botulism
A052,A00-A09,"Intestinal infectious diseases
",A05,Other bacterial foodborne intoxications,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A053,A00-A09,"Intestinal infectious diseases
",A05,Other bacterial foodborne intoxications,Foodborne Vibrio parahaemolyticus intoxication
A054,A00-A09,"Intestinal infectious diseases
",A05,Other bacterial foodborne intoxications,Foodborne Bacillus cereus intoxication
A058,A00-A09,"Intestinal infectious diseases
",A05,Other bacterial foodborne intoxications,Other specified bacterial foodborne intoxications
A059,A00-A09,"Intestinal infectious diseases
",A05,Other bacterial foodborne intoxications,"Bacterial foodborne intoxication, unspecified"
A06,A00-A09,"Intestinal infectious diseases
",A06,Amoebiasis,Amoebiasis
A060,A00-A09,"Intestinal infectious diseases
",A06,Amoebiasis,Acute amoebic dysentery
